['弗拉基米尔', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '丽桑卓', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '亚托克斯', '索拉卡', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '卡莉斯塔', '索拉卡', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '索拉卡', '锐雯', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '索拉卡', '亚索', '莫德凯撒', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '索拉卡', '莫德凯撒', '德莱文', '黛安娜']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '特朗德尔', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '瑟庄妮', '魔腾', '卡尔玛', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '莫甘娜', '魔腾', '卡尔玛', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '魔腾', '李青', '卡尔玛', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '魔腾', '锐雯', '亚索', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '魔腾', '亚索', '卡尔玛', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '魔腾', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '魔腾', '卡尔玛', '艾翁', '厄斐琉斯']:6 黑夜使者1黎明使者1复生亡魂1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '潘森', '卡尔玛', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1复苏者1神谕者1
['弗拉基米尔', '卡兹克', '锐雯', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1征服者1复苏者1
['弗拉基米尔', '卡兹克', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1黎明使者1刺客1复苏者1神谕者1
['弗拉基米尔', '亚托克斯', '魔腾', '莫德凯撒', '黛安娜', '艾翁']:6 黑夜使者1屠龙勇士1复生亡魂1刺客1征服者1复苏者1
