['弗拉基米尔', '沃里克', '薇恩', '古拉加斯', '索拉卡', '莫甘娜', '瑞兹', '千珏']:8 破败军团1黑夜使者1黎明使者1游侠1斗士1复苏者1秘术师2
['弗拉基米尔', '沃里克', '薇恩', '莫甘娜', '瑞兹', '艾翁', '沃利贝尔', '千珏']:8 破败军团1黑夜使者1复生亡魂1游侠1斗士1复苏者1秘术师2
['弗拉基米尔', '沃里克', '薇恩', '卡特琳娜', '魔腾', '艾翁', '厄斐琉斯', '沃利贝尔']:8 破败军团1黑夜使者1复生亡魂2刺客1游侠1斗士1复苏者1
['弗拉基米尔', '沃里克', '薇恩', '魔腾', '艾翁', '厄斐琉斯', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客1游侠1斗士1复苏者1
['弗拉基米尔', '沃里克', '古拉加斯', '卡兹克', '索拉卡', '锐雯', '莫德凯撒', '黛安娜']:8 黑夜使者1屠龙勇士1黎明使者2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '古拉加斯', '索拉卡', '卡特琳娜', '莫德凯撒', '德莱文', '黛安娜']:8 破败军团1黑夜使者1屠龙勇士1黎明使者1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '古拉加斯', '索拉卡', '莫德凯撒', '德莱文', '黛安娜', '佛耶戈']:8 破败军团1黑夜使者1屠龙勇士1黎明使者1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '古拉加斯', '特朗德尔', '魔腾', '卡尔玛', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '古拉加斯', '魔腾', '潘森', '卡尔玛', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '古拉加斯', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '古拉加斯', '魔腾', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '古拉加斯', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '特朗德尔', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '瑟庄妮', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '莫甘娜', '魔腾', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '李青', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '锐雯', '亚索', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '亚索', '卡尔玛', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '卡尔玛', '艾翁', '厄斐琉斯', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '卡尔玛', '艾翁', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '魔腾', '艾翁', '盖伦', '沃利贝尔', '德莱厄斯']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1骑士1
['弗拉基米尔', '沃里克', '卡兹克', '潘森', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '卡兹克', '锐雯', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '卡兹克', '卡尔玛', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '亚托克斯', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '卡莉斯塔', '魔腾', '莫德凯撒', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '索拉卡', '魔腾', '锐雯', '莫德凯撒', '黛安娜', '沃利贝尔']:8 黑夜使者1屠龙勇士1黎明使者1复生亡魂1刺客1斗士1征服者1复苏者1
['弗拉基米尔', '沃里克', '索拉卡', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1黎明使者1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '特朗德尔', '辛德拉', '魔腾', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '特朗德尔', '魔腾', '卡尔玛', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '特朗德尔', '魔腾', '黛安娜', '艾翁', '沃利贝尔', '提莫']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
['弗拉基米尔', '沃里克', '瑟庄妮', '赫卡里姆', '卡特琳娜', '魔腾', '艾翁', '沃利贝尔']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1重骑兵1
['弗拉基米尔', '沃里克', '瑟庄妮', '赫卡里姆', '魔腾', '艾翁', '沃利贝尔', '佛耶戈']:8 破败军团1黑夜使者1复生亡魂2刺客1斗士1复苏者1重骑兵1
['弗拉基米尔', '沃里克', '辛德拉', '魔腾', '潘森', '黛安娜', '艾翁', '沃利贝尔']:8 黑夜使者1屠龙勇士1复生亡魂2刺客1斗士1复苏者1神谕者1
